Red Fighter,Blue Fighter,Predicted Result,Probability
David Onama,Nate Landwehr,win,0.6277617433017828
Dominick Cruz,Marlon Vera,loss,0.6421298105881657
Francisco Figueiredo,Amir Albazi,loss,0.7638020782898131
Luis Saldana,Sean Woodson,loss,0.5923867371918049
Jared Gordon,Leonardo Santos,win,0.599846378780501
Alexandr Romanov,Marcin Tybura,win,0.6196556300095205
Harry Hunsucker,Tyson Pedro,loss,0.7218914696916469
Merab Dvalishvili,Jose Aldo,win,0.7276578098730335
Luke Rockhold,Paulo Costa,win,0.5188970378353405
Leon Edwards,Kamaru Usman,loss,0.664403622008228
Nasrat Haqparast,John Makdessi,loss,0.6791181406511703
Nathaniel Wood,Charles Jourdain,win,0.5385290764107019
Roman Kopylov,Alessio Di Chirico,loss,0.5230862600574833
Joaquin Buckley,Nassourdine Imavov,win,0.5002367207986257
Marvin Vettori,Robert Whittaker,win,0.4989827046940298
Tai Tuivasa,Ciryl Gane,loss,0.7939345882027339
Chris Barnett,Jake Collier,loss,0.7747771653755858
Julian Erosa,Hakeem Dawodu,loss,0.6529902660785081
Ion Cutelaba,Johnny Walker,loss,0.5176970635014615
Daniel Rodriguez,Li Jingliang,win,0.5630154681538392
Kevin Holland,Khamzat Chimaev,loss,0.633663672772295
Tony Ferguson,Nate Diaz,loss,0.512553559681956
Pat Sabatini,Damon Jackson,win,0.5498727644413792
Marc-Andre Barriault,Anthony Hernandez,loss,0.6578734584536984
Rodrigo Nascimento,Tanner Boser,loss,0.7843278178280217
Bill Algeo,Andre Fili,win,0.6247242651466159
Gregory Rodrigues,Chidi Njokuani,win,0.6171288899414069
Song Yadong,Cory Sandhagen,win,0.5680620804060244
Randy Costa,Guido Cannetti,win,0.5528508053500948
Brendan Allen,Krzysztof Jotko,win,0.5300007496182819
Jesse Ronson,Joaquim Silva,loss,0.5422029979141398
Aleksei Oleinik,Ilir Latifi,loss,0.6478918985904556
Viacheslav Borshchev,Mike Davis,loss,0.6314190490275413
Trevin Jones,Raoni Barcelos,loss,0.6518581339129861
Francisco Trinaldo,Randy Brown,loss,0.6583794709245385
Jacob Malkoun,Nick Maximov,loss,0.5660870708441438
Brandon Davis,Mana Martinez,loss,0.6583426412791067
Alonzo Menifield,Misha Cirkunov,win,0.68931533883793
Dusko Todorovic,Jordan Wright,loss,0.5598981784395591
Jonathan Martinez,Cub Swanson,win,0.5183306167371713
Malcolm Gordon,Muhammad Mokaev,loss,0.6641818521038457
Nikita Krylov,Volkan Oezdemir,loss,0.5071394884897981
Caio Borralho,Makhmud Muradov,loss,0.6432646440279542
Sean Brady,Belal Muhammad,loss,0.499078727118701
Mateusz Gamrot,Beneil Dariush,loss,0.6457996271165393
Sean O'Malley,Petr Yan,win,0.5730362128539572
TJ Dillashaw,Aljamain Sterling,loss,0.6547327404627132
Islam Makhachev,Charles Oliveira,win,0.6256739860959221
Steve Garcia,Chase Hooper,win,0.557310943673823
JunYong Park,Joseph Holmes,win,0.5227700490426668
Marcos Rogerio de Lima,Andrei Arlovski,win,0.6607549639444359
Roman Dolidze,Phil Hawes,loss,0.7018404257864477
Khalil Rountree Jr.,Dustin Jacoby,loss,0.7578734270071602
Max Griffin,Tim Means,win,0.5094938902133362
Arnold Allen,Calvin Kattar,win,0.6847433450256742
Benito Lopez,Mario Bautista,loss,0.7229029707048777
Mark Madsen,Grant Dawson,loss,0.6719641709062282
Nate Maness,Tagir Ulanbekov,loss,0.6614005525712144
Shayilan Nuerdanbieke,Darrick Minner,loss,0.5698897451855012
Daniel Rodriguez,Neil Magny,win,0.5541499320615455
Nicolae Negumereanu,Carlos Ulberg,loss,0.7462466533017331
Montel Jackson,Julio Arce,win,0.5475560628354191
SeungWoo Choi,Michael Trizano,loss,0.5572073165059779
Ottman Azaitar,Matt Frevola,win,0.5692171295000457
Wellington Turman,Andre Petroski,loss,0.6467674773255848
Ryan Spann,Dominick Reyes,loss,0.5925943749286896
Renato Moicano,Brad Riddell,loss,0.5579235017544335
Claudio Puelles,Dan Hooker,win,0.49979899034654846
Chris Gutierrez,Frankie Edgar,win,0.6676385856046791
Michael Chandler,Dustin Poirier,loss,0.5959385502331357
Alex Pereira,Israel Adesanya,loss,0.5505886790247531
Kevin Natividad,Ricky Turcios,loss,0.5982823857391012
Miles Johns,Vince Morales,win,0.554530275098808
Danny Roberts,Jack Della Maddalena,loss,0.7073922775244147
Muslim Salikhov,Andre Fialho,win,0.5431976965838828
Ion Cutelaba,Kennedy Nzechukwu,loss,0.6364753962503933
Jonathan Pearce,Darren Elkins,win,0.7505022677184716
Marc Diakiese,Michael Johnson,win,0.6125111726613235
Scott Holtzman,Clay Guida,win,0.661465644096386
Phil Rowe,Niko Price,loss,0.5227287065639504
Kyle Daukaus,Eryk Anders,win,0.5713689652680156
Roman Dolidze,Jack Hermansson,loss,0.6104959113206666
Sergei Pavlovich,Tai Tuivasa,win,0.5932078094661678
Matt Schnell,Matheus Nicolau,loss,0.6213518187107694
Rafael Dos Anjos,Bryan Barberena,win,0.5737544883104149
Kevin Holland,Stephen Thompson,win,0.5255746491201175
Alexander Hernandez,Billy Quarantillo,loss,0.5424021521750754
Joaquin Buckley,Chris Curtis,win,0.6010712252239644
Dalcha Lungiambula,Edmen Shahbazyan,loss,0.7534409015747103
Chris Daukaus,Jairzinho Rozenstruik,loss,0.5350075263294507
Ilia Topuria,Bryce Mitchell,loss,0.6704726074370216
Dricus Du Plessis,Darren Till,win,0.7530128149281077
Alex Morono,Santiago Ponzinibbio,loss,0.5083628937734495
Jared Gordon,Paddy Pimblett,win,0.6431512140212484
Magomed Ankalaev,Jan Blachowicz,win,0.6596021027077218
Journey Newson,Sergey Morozov,loss,0.5701688101488005
Manel Kape,David Dvorak,win,0.506676344829285
Saidyokub Kakhramonov,Said Nurmagomedov,win,0.5462750189165718
Matthew Semelsberger,Jake Matthews,loss,0.6627949855731327
Michal Oleksiejczuk,Cody Brundage,loss,0.5202475827383919
Bobby Green,Drew Dober,win,0.639246535469397
Julian Erosa,Alex Caceres,loss,0.5776895933587968
Damir Ismagulov,Arman Tsarukyan,loss,0.5502758084165806
Sean Strickland,Jared Cannonier,win,0.6740620192918949
Raoni Barcelos,Umar Nurmagomedov,loss,0.7167028246968549
Roman Kopylov,Punahele Soriano,loss,0.5216657607776656
Damon Jackson,Dan Ige,win,0.5066807213858423
Nassourdine Imavov,Sean Strickland,loss,0.5262036821532194
Nicolas Dalby,Warlley Alves,loss,0.6452726890954463
Jailton Almeida,Shamil Abdurakhimov,win,0.7607052392561588
Johnny Walker,Paul Craig,win,0.5502115625082716
Neil Magny,Gilbert Burns,loss,0.6305972096023996
Brandon Moreno,Deiveson Figueiredo,loss,0.5030560921249373
Jamahal Hill,Glover Teixeira,loss,0.6069590507342009
Denis Tiuliulin,JunYong Park,loss,0.7437487752145272
Kyle Nelson,Dooho Choi,loss,0.5222307360485656
Blagoy Ivanov,Marcin Tybura,loss,0.5081895457687899
Devin Clark,Da Woon Jung,loss,0.681132772181502
Serghei Spivac,Derrick Lewis,win,0.7353312489383673
Melsik Baghdasaryan,Josh Culibao,loss,0.5001729632283779
Modestas Bukauskas,Tyson Pedro,loss,0.6976160546556364
Alonzo Menifield,Jimmy Crute,loss,0.5204396675697917
Parker Porter,Justin Tafa,loss,0.6541873014434864
Randy Brown,Jack Della Maddalena,loss,0.5312904855443541
Josh Emmett,Yair Rodriguez,loss,0.5732598504487015
Alexander Volkanovski,Islam Makhachev,loss,0.4972229810341177
Philipe Lins,Ovince Saint Preux,win,0.6058524552080612
Alexander Hernandez,Jim Miller,loss,0.6044687367649597
Marcin Prachnio,William Knight,win,0.5013716136744941
Charles Johnson,Ode Osbourne,win,0.6425940267956022
Don'Tale Mayes,Augusto Sakai,win,0.6553338190238751
Brendan Allen,Andre Muniz,loss,0.5965190217650331
Song Kenan,Ian Garry,loss,0.7840091569117925
Marc-Andre Barriault,Julian Marquez,win,0.6309382923597724
Dricus Du Plessis,Derek Brunson,win,0.6576879645857178
Trevin Jones,Cody Garbrandt,loss,0.6936810355974035
Jalin Turner,Mateusz Gamrot,loss,0.51641358330749
Shavkat Rakhmonov,Geoff Neal,win,0.6330483501197284
Ciryl Gane,Jon Jones,loss,0.6419194077481553
Jared Gooden,Carlston Harris,win,0.5313417654211922
Bruno Silva,Tyson Nam,win,0.525678578773435
Tony Gravely,Victor Henry,win,0.6129926745874523
Davey Grant,Raphael Assuncao,loss,0.5868573978202953
Guido Cannetti,Mario Bautista,loss,0.7253492771426794
Jonathan Martinez,Said Nurmagomedov,win,0.5661855210345939
Ryan Spann,Nikita Krylov,loss,0.5719670281807595
Alexandr Romanov,Alexander Volkov,win,0.5530838474637989
Merab Dvalishvili,Petr Yan,win,0.5831954638839869
Ludovit Klein,Jai Herbert,win,0.6226803910945428
Malcolm Gordon,Jake Hadley,loss,0.515836058913513
Makwan Amirkhani,Jack Shore,loss,0.8037722575160686
Roman Dolidze,Marvin Vettori,loss,0.6366187006765919
Bryan Barberena,Gunnar Nelson,loss,0.5135733711045425
Rafael Fiziev,Justin Gaethje,loss,0.5844695733751945
Kamaru Usman,Leon Edwards,loss,0.5299647521439677
Daniel Lacerda,CJ Vergara,loss,0.6339587195980291
Preston Parsons,Trevin Giles,win,0.5522201687032858
Tucker Lutz,Daniel Pineda,loss,0.5615182503245033
Albert Duraev,Chidi Njokuani,loss,0.5333039955921764
Austin Lingo,Nate Landwehr,loss,0.5711285857218606
Cory Sandhagen,Marlon Vera,loss,0.5313275487428447
Steve Garcia,Shayilan Nuerdanbieke,win,0.5193417630725816
Trey Ogden,Ignacio Bahamondes,loss,0.5934354049135533
Kelvin Gastelum,Chris Curtis,loss,0.6064906719126875
Santiago Ponzinibbio,Kevin Holland,loss,0.5300564118699017
Adrian Yanez,Rob Font,loss,0.5572752486261825
Jorge Masvidal,Gilbert Burns,loss,0.7071079327986389
Israel Adesanya,Alex Pereira,win,0.5598371835859134
Ed Herman,Zak Cummings,loss,0.6622590947170168
Matheus Nicolau,Brandon Royval,win,0.648395036826142
TJ Brown,Bill Algeo,loss,0.550248374515142
Rafa Garcia,Clay Guida,win,0.6950345454399576
Chris Gutierrez,Pedro Munhoz,win,0.6770515793929032
Ion Cutelaba,Tanner Boser,loss,0.6969739646790831
Azamat Murzakanov,Dustin Jacoby,win,0.5863119697417941
Billy Quarantillo,Edson Barboza,win,0.6538397476224012
Arnold Allen,Max Holloway,loss,0.6876147648477272
Batgerel Danaa,Brady Hiestand,win,0.5763011024986431
Montel Jackson,Rani Yahya,win,0.6199409929039411
Christos Giagos,Ricky Glenn,loss,0.5205246763676877
Matthew Semelsberger,Jeremiah Wells,loss,0.587448237288508
Jared Gordon,Bobby Green,loss,0.5384829377448578
Bruno Silva,Brad Tavares,win,0.5308460074153571
Curtis Blaydes,Sergei Pavlovich,win,0.6261858318323251
Charles Johnson,Cody Durden,loss,0.5546963456426592
Jake Collier,Martin Buday,loss,0.49569135495027133
Waldo Cortes-Acosta,Marcos Rogerio de Lima,loss,0.5371776361697477
Cody Brundage,Rodolfo Vieira,loss,0.6141545732584974
Michal Oleksiejczuk,Caio Borralho,win,0.5131010538509773
Ricky Simon,Song Yadong,win,0.6441224197627288
Devin Clark,Kennedy Nzechukwu,loss,0.7093514983352308
Matt Frevola,Drew Dober,win,0.5921654347429289
Charles Jourdain,Kron Gracie,win,0.6583521997348208
Gilbert Burns,Belal Muhammad,loss,0.5661927417060062
Henry Cejudo,Aljamain Sterling,loss,0.67348788630093
Gabe Green,Bryan Battle,loss,0.5188915989156098
Douglas Silva de Andrade,Cody Stamann,loss,0.5771776548142048
Court McGee,Matt Brown,win,0.5497686245664529
Alex Morono,Tim Means,win,0.6148533533905256
Ihor Potieria,Carlos Ulberg,loss,0.7517375087266832
Ian Garry,Daniel Rodriguez,loss,0.513726565791979
Johnny Walker,Anthony Smith,loss,0.5500370863560117
Jailton Almeida,Jairzinho Rozenstruik,win,0.6271945508814893
Rodrigo Nascimento,Ilir Latifi,win,0.5474605686205576
Viacheslav Borshchev,Maheshate,win,0.5477644312521517
Michael Johnson,Diego Ferreira,loss,0.5865192103198531
Joaquin Buckley,Andre Fialho,win,0.6296875634215632
Anthony Hernandez,Edmen Shahbazyan,win,0.5355977555827626
Maxim Grishin,Philipe Lins,win,0.5647832496228251
Don'Tale Mayes,Andrei Arlovski,loss,0.6196741285972996
Johnny Munoz,Daniel Santos,win,0.5986283606590885
Elizeu Zaleski dos Santos,Abubakar Nurmagomedov,win,0.5070749475863652
Victor Altamirano,Tim Elliott,win,0.6489027082254939
Daniel Pineda,Alex Caceres,loss,0.6509266939270474
Amir Albazi,Kai Kara-France,loss,0.5117237250177911
Aoriqileng,Aiemann Zahabi,loss,0.6046143537068509
Chris Curtis,Nassourdine Imavov,loss,0.6315773347897919
Eryk Anders,Marc-Andre Barriault,loss,0.624545312707303
Nate Landwehr,Dan Ige,win,0.581848340209105
Adam Fugitt,Mike Malott,loss,0.7023463878734485
Beneil Dariush,Charles Oliveira,win,0.5657203938491933
Modestas Bukauskas,Zac Pauga,loss,0.6348122804641074
Ronnie Lawrence,Dan Argueta,loss,0.7421016769141736
Muslim Salikhov,Nicolas Dalby,win,0.6579614293206472
Joaquim Silva,Arman Tsarukyan,loss,0.7166286549969456
Jared Cannonier,Marvin Vettori,loss,0.6677200380323117
Wellington Turman,Randy Brown,loss,0.6951989203311384
Phil Rowe,Neil Magny,win,0.494860279216136
Bruno Silva,Brendan Allen,loss,0.6602753386086364
Ilia Topuria,Josh Emmett,win,0.5643150814812244
Blagoy Ivanov,Alexandr Romanov,loss,0.5550920594336757
Rinat Fakhretdinov,Kevin Lee,win,0.6754571163790161
Michael Morales,Max Griffin,win,0.5122257213724659
Grant Dawson,Damir Ismagulov,win,0.5447940913236773
Alonzo Menifield,Jimmy Crute,loss,0.5534150629667052
Niko Price,Robbie Lawler,win,0.7501101559840213
Dan Hooker,Jalin Turner,loss,0.6175958017655936
Dricus Du Plessis,Robert Whittaker,win,0.649807628112213
Alexandre Pantoja,Brandon Moreno,loss,0.5822834515349291
Yair Rodriguez,Alexander Volkanovski,loss,0.7741740389768464
Genaro Valdez,Evan Elder,loss,0.6433361912068648
Melsik Baghdasaryan,Tucker Lutz,win,0.6423546855237293
JunYong Park,Albert Duraev,win,0.5267224508440669
Bryan Barberena,Makhmud Muradov,loss,0.5454540449958959
Joel Alvarez,Marc Diakiese,win,0.5326303543402039
Josh Culibao,Lerone Murphy,loss,0.5794910862216298
Fares Ziam,Jai Herbert,win,0.6240318842503818
Andre Muniz,Paul Craig,win,0.5802010912373479
Andre Fili,Nathaniel Wood,loss,0.7354876996047678
Marcin Tybura,Tom Aspinall,loss,0.7636264286645996
Uros Medic,Matthew Semelsberger,win,0.5725355287793586
Claudio Ribeiro,Roman Kopylov,loss,0.6856882511422029
Kevin Holland,Michael Chiesa,win,0.501580722868632
Bobby Green,Tony Ferguson,win,0.5800515660949814
Marcos Rogerio de Lima,Derrick Lewis,win,0.6556528889960885
Alex Pereira,Jan Blachowicz,win,0.5463586676749331
Justin Gaethje,Dustin Poirier,loss,0.5636731508269325
Jake Hadley,Cody Durden,loss,0.6296179089672211
Damon Jackson,Billy Quarantillo,loss,0.5939217928149823
Carlston Harris,Jeremiah Wells,loss,0.5058784309443012
Raoni Barcelos,Kyler Phillips,loss,0.5956558238916088
Ludovit Klein,Ignacio Bahamondes,loss,0.7102076169603011
Aleksa Camur,Tanner Boser,loss,0.5274607697482654
Kennedy Nzechukwu,Dustin Jacoby,loss,0.5406209233417874
Rob Font,Cory Sandhagen,loss,0.5011618593065852
Martin Buday,Josh Parisian,win,0.6288946098797517
Mike Breeden,Terrance McKinney,loss,0.5521592912928485
Jamie Pickett,Josh Fremd,loss,0.6917431646613136
Tafon Nchukwi,AJ Dobson,loss,0.4982018772917389
Chris Daukaus,Khalil Rountree Jr.,loss,0.5570347284942287
Hakeem Dawodu,Cub Swanson,win,0.499213652042577
Rafael Dos Anjos,Vicente Luque,loss,0.5207897791050325
Gerald Meerschaert,Andre Petroski,loss,0.7037600243736567
Cody Gibson,Brad Katona,loss,0.6528203185324213
Austin Hubbard,Kurt Holobaugh,win,0.7009446171303056
Denis Tiuliulin,Gregory Rodrigues,loss,0.7721182467001195
Brad Tavares,Chris Weidman,loss,0.5707058340734618
Pedro Munhoz,Marlon Vera,loss,0.5804363453238282
Mario Bautista,Da'Mon Blackshear,win,0.6354885249814369
Ian Garry,Neil Magny,win,0.704124841580976
Sean O'Malley,Aljamain Sterling,loss,0.6070614223003431
Michal Oleksiejczuk,Chidi Njokuani,win,0.57100722758454
Lukasz Brzeski,Waldo Cortes-Acosta,loss,0.6983110566739488
Alex Caceres,Giga Chikadze,loss,0.5773164407011669
Ryan Spann,Anthony Smith,loss,0.5024275904530161
Chan Sung Jung,Max Holloway,loss,0.8151205527749513
Rhys McKee,Ange Loosa,loss,0.7420411727775893
Thiago Moises,Benoit Saint Denis,loss,0.5507342131276438
Serghei Spivac,Ciryl Gane,loss,0.6240776174895413
John Makdessi,Jamie Mullarkey,loss,0.6175983052055394
Da Woon Jung,Carlos Ulberg,loss,0.7022836972603064
Anton Turkalj,Tyson Pedro,loss,0.6350012992242532
Alexander Volkov,Tai Tuivasa,win,0.6902679499478054
Sean Strickland,Israel Adesanya,win,0.5773050335666545
Josh Fremd,Roman Kopylov,loss,0.529811537368354
Christos Giagos,Daniel Zellhuber,loss,0.5236463046327059
Jack Della Maddalena,Kevin Holland,win,0.710788818508942
Jake Collier,Mohammed Usman,win,0.5214284466954995
Cody Brundage,Jacob Malkoun,loss,0.8238785039746956
Andre Fialho,Tim Means,loss,0.6260352133826714
Miles Johns,Dan Argueta,loss,0.5004430554552716
Charles Jourdain,Ricardo Ramos,win,0.5660965752742475
AJ Fletcher,Bryan Battle,loss,0.5631784278709587
Dan Ige,Bryce Mitchell,loss,0.7613562943883263
Mateusz Gamrot,Rafael Fiziev,loss,0.516784983009782
Johnny Munoz,Aoriqileng,win,0.5071712266189753
Bill Algeo,Alexander Hernandez,win,0.5399339346510036
Ricky Glenn,Drew Dober,loss,0.5582959354136586
Joaquin Buckley,Alex Morono,loss,0.5911954877755957
Abdul Razak Alhassan,Joe Pyfer,loss,0.6472598639892436
Bobby Green,Grant Dawson,loss,0.6775147636811095
Alatengheili,Chris Gutierrez,loss,0.7165364424565525
TJ Brown,Darren Elkins,loss,0.5477028946344582
Cameron Saaiman,Christian Rodriguez,win,0.5526390025672946
Michel Pereira,Andre Petroski,loss,0.5017602143598328
Adrian Yanez,Jonathan Martinez,loss,0.6056116840924388
Edson Barboza,Sodiq Yusuff,loss,0.6961327815327748
Sedriques Dumas,Abu Azaitar,win,0.6244149309088327
Victor Henry,Javid Basharat,loss,0.7021619799496844
Muhammad Mokaev,Tim Elliott,win,0.6161247521634305
Johnny Walker,Magomed Ankalaev,loss,0.7024204458541297
Khamzat Chimaev,Kamaru Usman,loss,0.49388761581464913
Alexander Volkanovski,Islam Makhachev,win,0.5022660693805587
Modestas Bukauskas,Vitor Petrino,loss,0.5834744391631489
Elizeu Zaleski dos Santos,Rinat Fakhretdinov,loss,0.7070330557588624
Abus Magomedov,Caio Borralho,loss,0.6722775174971536
Don'Tale Mayes,Rodrigo Nascimento,loss,0.6000963600931069
Nicolas Dalby,Gabriel Bonfim,loss,0.5991721501485121
Derrick Lewis,Jailton Almeida,loss,0.8129535891548094
Kyung Ho Kang,John Castaneda,loss,0.5434950050216137
Mark Madsen,Jared Gordon,loss,0.7269954593896399
Viacheslav Borshchev,Nazim Sadykhov,win,0.5378575940362077
Roosevelt Roberts,Mateusz Rebecki,loss,0.8076931788381249
Pat Sabatini,Diego Lopes,win,0.7506532745374795
Benoit Saint Denis,Matt Frevola,win,0.7214365446511547
Tom Aspinall,Sergei Pavlovich,loss,0.5376478764376931
Alex Pereira,Jiri Prochazka,win,0.5380555245100032
Nikolas Motta,Trey Ogden,loss,0.6016550153157604
Denis Tiuliulin,Christian Leroy Duncan,loss,0.6745372671649632
Joanderson Brito,Jonathan Pearce,loss,0.7222508887244795
Jordan Leavitt,Chase Hooper,win,0.5120069213705679
Jake Matthews,Michael Morales,loss,0.6042446458306692
Paul Craig,Brendan Allen,loss,0.7342002401785924
Jared Gooden,Wellington Turman,loss,0.5008451324555032
Joe Solecki,Drakkar Klose,loss,0.5348808424724945
Dustin Stoltzfus,Punahele Soriano,loss,0.5599934148867249
Joaquim Silva,Clay Guida,win,0.5119676184060212
Kelvin Gastelum,Sean Brady,loss,0.7362206095040034
Deiveson Figueiredo,Rob Font,win,0.5006946928280783
Bobby Green,Jalin Turner,win,0.5590095053002155
Arman Tsarukyan,Beneil Dariush,win,0.6332600393169794
Carlos Hernandez,Tatsuro Taira,loss,0.6701204084705709
Melquizael Costa,Steve Garcia,win,0.6727831026041764
Andre Muniz,JunYong Park,loss,0.6148129266376187
Sumudaerji,Tim Elliott,win,0.6144646880994235
Jamie Mullarkey,Nasrat Haqparast,win,0.6155512993604056
Khalil Rountree Jr.,Anthony Smith,loss,0.5545115357234554
Chris Gutierrez,Song Yadong,win,0.5746782192552443
Lucas Almeida,Andre Fili,loss,0.6213906149915911
Cody Durden,Tagir Ulanbekov,win,0.5234863416295152
Brian Kelleher,Cody Garbrandt,loss,0.6335614537979284
Dustin Jacoby,Alonzo Menifield,loss,0.5286930523715494
Bryce Mitchell,Josh Emmett,win,0.7171965410284953
Paddy Pimblett,Tony Ferguson,win,0.6380643706734259
Stephen Thompson,Shavkat Rakhmonov,loss,0.8169815860544124
Brandon Royval,Alexandre Pantoja,loss,0.6369895418714602
Colby Covington,Leon Edwards,loss,0.5861143171228161
